age,female,hisp,education,earnings,hours,weeks,union,uncov,region,race,marital,wage,college
44,0,0,16,56000,45,52,0,0,1,1,1,23.931623931623932,College
29,0,0,16,25000,40,52,0,0,1,1,1,12.01923076923077,College
25,1,0,13,15000,40,52,0,0,1,1,1,7.211538461538462,Non-college
55,0,0,18,60000,50,52,0,0,1,1,1,23.076923076923077,College
52,1,0,18,22500,50,52,0,0,1,1,1,8.653846153846153,College
36,1,0,16,104000,42,52,0,0,1,1,5,47.61904761904762,College
32,0,0,13,25000,40,52,0,0,1,1,5,12.01923076923077,Non-college
39,0,0,12,50000,40,52,0,0,1,1,1,24.03846153846154,Non-college
37,1,0,12,20000,40,52,0,0,1,1,1,9.615384615384615,Non-college
35,1,0,13,24000,40,52,0,0,1,1,1,11.538461538461538,Non-college
38,0,0,16,85000,40,52,0,0,1,1,1,40.86538461538461,College
34,0,0,12,70000,60,52,0,0,1,1,7,22.435897435897434,Non-college
39,1,0,12,24002,40,52,0,0,1,1,5,11.539423076923077,Non-college
45,0,0,16,95000,60,52,0,0,1,1,1,30.44871794871795,College
51,0,0,18,156697,65,52,0,0,1,1,1,46.360059171597634,College
48,1,0,12,51600,44,52,0,0,1,1,1,22.552447552447553,Non-college
44,1,0,14,38000,40,52,0,0,1,1,5,18.26923076923077,Non-college
26,1,0,12,27000,36,52,0,0,1,1,1,14.423076923076923,Non-college
26,0,0,12,34000,50,52,0,0,1,1,1,13.076923076923077,Non-college
48,0,0,11,41000,40,52,0,0,1,1,5,19.71153846153846,Non-college
48,0,0,12,19000,40,52,0,0,1,1,1,9.134615384615385,Non-college
39,1,0,12,17000,40,52,0,0,1,1,5,8.173076923076923,Non-college
28,0,0,12,19539,40,52,0,0,1,1,7,9.39375,Non-college
32,1,0,18,61500,75,52,0,0,1,1,1,15.76923076923077,College
27,0,0,14,53000,58,52,0,0,1,1,1,17.572944297082227,Non-college
49,1,0,16,50000,50,52,0,0,1,1,1,19.23076923076923,College
33,0,0,16,62000,40,52,0,0,1,1,1,29.807692307692307,College
61,1,0,14,21403,55,52,1,0,1,1,5,7.483566433566433,Non-college
31,1,0,13,60000,48,52,0,0,1,1,1,24.03846153846154,Non-college
56,1,0,12,26000,40,52,0,0,1,1,1,12.5,Non-college
37,0,0,14,26000,40,52,0,0,1,1,7,12.5,Non-college
34,0,0,12,75000,45,52,0,0,1,1,5,32.05128205128205,Non-college
47,1,0,13,28000,40,52,0,0,1,1,5,13.461538461538462,Non-college
40,0,0,16,32000,45,52,0,0,1,1,1,13.675213675213675,College
46,1,0,18,52000,45,52,0,0,1,1,1,22.22222222222222,College
40,1,0,16,95000,40,52,0,0,1,1,1,45.67307692307692,College
35,0,0,12,50000,40,52,0,0,1,1,1,24.03846153846154,Non-college
38,1,0,14,32000,40,52,0,0,1,1,1,15.384615384615385,Non-college
38,0,0,13,48000,40,52,0,0,1,1,1,23.076923076923077,Non-college
41,1,0,16,42000,50,52,0,0,1,1,1,16.153846153846153,College
45,1,0,14,25000,40,52,0,0,1,1,7,12.01923076923077,Non-college
45,1,1,11,30000,40,52,0,0,1,1,1,14.423076923076923,Non-college
44,1,0,12,39000,40,52,0,0,1,1,5,18.75,Non-college
40,0,0,16,60000,40,52,0,0,1,1,1,28.846153846153847,College
39,1,0,16,12000,40,52,0,0,1,1,5,5.769230769230769,College
21,0,0,12,35000,57,52,0,0,1,1,7,11.808367071524966,Non-college
56,0,0,18,40000,40,52,0,0,1,1,1,19.23076923076923,College
55,0,0,18,42000,40,51,0,0,1,1,3,20.58823529411765,College
29,0,0,13,32000,40,52,0,0,1,1,7,15.384615384615385,Non-college
48,0,0,12,60000,55,52,0,0,1,1,1,20.97902097902098,Non-college
43,1,0,16,26000,52,52,0,0,1,1,1,9.615384615384615,College
38,0,0,12,60000,50,52,0,0,1,1,1,23.076923076923077,Non-college
45,0,0,12,33500,40,52,0,0,1,1,1,16.10576923076923,Non-college
49,1,0,12,22000,40,52,0,0,1,1,1,10.576923076923077,Non-college
29,0,0,11,22000,50,52,0,0,1,1,7,8.461538461538462,Non-college
54,0,0,12,27457,40,52,0,0,1,1,1,13.200480769230769,Non-college
37,1,0,12,20311,40,52,0,0,1,1,1,9.764903846153846,Non-college
67,1,0,13,30000,40,52,0,0,1,1,7,14.423076923076923,Non-college
40,0,0,12,20000,57,52,0,0,1,1,7,6.747638326585695,Non-college
29,0,0,13,28000,40,52,0,0,1,1,1,13.461538461538462,Non-college
59,0,0,12,28000,40,52,0,0,1,1,1,13.461538461538462,Non-college
43,1,0,14,35000,40,52,0,0,1,1,1,16.826923076923077,Non-college
48,0,0,12,48000,40,52,0,0,1,1,5,23.076923076923077,Non-college
37,0,0,13,30000,42,52,0,0,1,1,1,13.736263736263735,Non-college
32,1,0,12,15000,40,52,0,0,1,1,1,7.211538461538462,Non-college
60,0,0,12,40000,40,52,0,0,1,1,1,19.23076923076923,Non-college
59,1,0,12,40000,40,52,0,0,1,1,1,19.23076923076923,Non-college
42,0,0,18,72000,45,52,0,0,1,1,1,30.76923076923077,College
42,1,0,13,45000,40,52,0,0,1,1,1,21.634615384615383,Non-college
36,1,0,13,62000,40,52,0,0,1,1,7,29.807692307692307,Non-college
52,0,0,14,76000,40,52,0,0,1,1,1,36.53846153846154,Non-college
52,1,0,12,28000,40,48,0,0,1,1,5,14.583333333333334,Non-college
51,0,0,12,65000,70,52,0,0,1,1,1,17.857142857142858,Non-college
19,0,0,16,22000,40,50,0,0,1,1,7,11,College
26,1,0,13,26000,40,52,0,0,1,1,7,12.5,Non-college
43,0,0,16,70000,45,52,0,0,1,1,1,29.914529914529915,College
41,1,0,12,34000,40,52,0,0,1,1,1,16.346153846153847,Non-college
43,1,0,16,68000,40,52,0,0,1,1,1,32.69230769230769,College
25,1,0,13,13000,40,48,0,0,1,1,7,6.770833333333333,Non-college
37,1,0,14,68640,45,52,0,0,1,1,1,29.333333333333332,Non-college
36,0,0,12,37000,45,52,0,0,1,1,1,15.811965811965813,Non-college
40,1,0,16,55000,45,52,0,0,1,1,5,23.504273504273506,College
38,1,0,13,24900,40,52,1,0,1,1,7,11.971153846153847,Non-college
36,0,0,12,30000,40,52,0,0,1,1,1,14.423076923076923,Non-college
38,1,0,12,26002,40,52,0,0,1,1,1,12.500961538461539,Non-college
54,0,0,16,52000,40,52,0,0,1,1,1,25,College
51,1,0,16,70000,40,52,0,0,1,1,1,33.65384615384615,College
25,0,0,16,25000,60,52,0,0,1,1,7,8.012820512820513,College
41,0,0,16,38291,45,52,0,0,1,1,1,16.363675213675215,College
55,1,0,14,30000,40,52,0,0,1,1,1,14.423076923076923,Non-college
47,0,0,16,32500,40,52,0,0,1,1,1,15.625,College
39,1,0,16,32500,40,52,0,0,1,1,1,15.625,College
21,0,1,13,30000,40,52,0,0,1,1,7,14.423076923076923,Non-college
56,0,0,16,63674,50,52,0,0,1,1,1,24.49,College
47,0,0,14,40000,40,52,0,0,1,1,5,19.23076923076923,Non-college
40,0,1,20,75000,40,52,0,0,1,1,1,36.05769230769231,College
30,1,0,12,32500,40,52,0,0,1,1,1,15.625,Non-college
35,1,0,13,31500,40,52,0,0,1,1,1,15.14423076923077,Non-college
39,0,0,16,36000,44,52,0,0,1,1,1,15.734265734265735,College
44,1,0,16,37000,44,52,0,0,1,1,1,16.17132867132867,College
43,0,0,12,31000,40,52,0,0,1,1,1,14.903846153846153,Non-college
29,1,0,12,27000,40,52,0,0,1,1,7,12.98076923076923,Non-college
40,1,0,16,46000,40,52,0,0,1,1,7,22.115384615384617,College
55,1,0,16,50000,50,52,0,0,1,1,5,19.23076923076923,College
38,1,0,14,61000,40,52,0,0,1,1,7,29.326923076923077,Non-college
35,0,0,20,50000,60,52,0,0,1,1,7,16.025641025641026,College
39,0,0,13,50000,72,52,0,0,1,1,1,13.354700854700855,Non-college
32,1,0,14,60000,40,52,0,0,1,1,1,28.846153846153847,Non-college
41,0,0,12,40000,40,52,0,0,1,1,1,19.23076923076923,Non-college
43,1,0,14,42000,40,52,0,0,1,1,1,20.192307692307693,Non-college
47,0,0,12,39000,36,52,0,0,1,1,1,20.833333333333332,Non-college
43,0,0,13,39000,40,52,0,0,1,1,5,18.75,Non-college
55,0,0,13,25000,40,52,0,0,1,1,1,12.01923076923077,Non-college
47,1,0,14,25000,40,52,0,0,1,1,1,12.01923076923077,Non-college
46,0,0,14,78000,40,52,0,0,1,1,1,37.5,Non-college
43,1,0,12,43680,50,52,0,0,1,1,5,16.8,Non-college
60,0,0,13,76000,45,52,0,0,1,7,1,32.47863247863248,Non-college
50,0,0,18,150000,60,52,0,0,1,1,1,48.07692307692308,College
43,0,0,12,51000,55,52,0,0,1,1,1,17.832167832167833,Non-college
44,1,0,16,67000,40,52,0,0,1,1,1,32.21153846153846,College
51,0,0,12,50000,50,52,0,0,1,1,1,19.23076923076923,Non-college
43,1,0,18,50000,40,52,0,0,1,1,1,24.03846153846154,College
41,0,0,18,44200,40,52,0,0,1,1,1,21.25,College
51,0,0,12,34000,40,52,0,0,1,1,1,16.346153846153847,Non-college
42,0,0,12,49000,36,52,0,0,1,1,1,26.175213675213676,Non-college
42,1,0,13,30000,40,52,0,0,1,1,1,14.423076923076923,Non-college
37,0,0,12,45500,48,52,0,0,1,1,1,18.229166666666668,Non-college
40,0,0,18,88000,60,52,0,0,1,1,1,28.205128205128204,College
56,0,0,12,28000,40,52,0,0,1,1,1,13.461538461538462,Non-college
46,1,0,14,32250,38,52,0,0,1,1,7,16.32085020242915,Non-college
31,1,0,13,18000,40,52,0,0,1,1,1,8.653846153846153,Non-college
37,1,0,13,17500,40,52,0,0,1,1,1,8.413461538461538,Non-college
41,0,0,12,21524,40,52,0,0,1,1,1,10.348076923076922,Non-college
41,0,0,12,22000,40,52,0,0,1,1,1,10.576923076923077,Non-college
36,1,0,18,43000,40,52,0,0,1,1,7,20.673076923076923,College
55,0,0,14,30000,44,52,0,0,1,2,1,13.111888111888112,Non-college
44,1,0,12,27000,40,52,0,0,1,1,1,12.98076923076923,Non-college
46,1,0,13,49000,45,52,0,0,1,1,1,20.94017094017094,Non-college
50,0,0,13,51000,47,52,0,0,1,1,1,20.867430441898527,Non-college
48,0,0,20,102000,50,52,0,0,1,1,1,39.23076923076923,College
61,0,0,16,47184,45,52,0,0,1,1,1,20.164102564102564,College
53,0,0,16,50000,40,52,0,0,1,1,1,24.03846153846154,College
54,0,0,12,50000,60,52,0,0,1,1,1,16.025641025641026,Non-college
52,1,0,14,52000,40,52,0,0,1,1,1,25,Non-college
26,1,0,13,16000,40,52,0,0,1,1,1,7.6923076923076925,Non-college
29,0,0,14,28000,40,52,0,0,1,1,1,13.461538461538462,Non-college
29,0,0,13,43000,40,52,0,0,1,1,1,20.673076923076923,Non-college
23,0,0,16,25000,40,52,0,0,1,1,7,12.01923076923077,College
75,1,0,13,75000,50,52,0,0,1,1,5,28.846153846153847,Non-college
54,0,0,13,50000,40,52,0,0,1,1,1,24.03846153846154,Non-college
53,0,0,16,41802,40,52,0,0,1,1,5,20.097115384615385,College
39,1,0,18,44000,40,52,0,0,1,1,7,21.153846153846153,College
78,0,0,12,19000,40,52,0,0,1,1,1,9.134615384615385,Non-college
43,0,0,12,40000,40,52,0,0,1,1,5,19.23076923076923,Non-college
59,1,0,12,30000,40,52,0,0,1,1,1,14.423076923076923,Non-college
63,0,0,12,40000,50,52,0,0,1,1,1,15.384615384615385,Non-college
56,0,0,16,45000,56,52,0,0,1,1,1,15.453296703296703,College
50,1,0,14,66001,45,52,0,0,1,1,1,28.205555555555556,Non-college
40,0,0,12,25000,40,48,0,0,1,1,1,13.020833333333334,Non-college
37,1,0,13,30000,40,52,0,0,1,1,1,14.423076923076923,Non-college
55,1,0,12,40000,40,52,0,0,1,1,1,19.23076923076923,Non-college
56,0,0,12,40000,45,52,0,0,1,1,1,17.094017094017094,Non-college
49,1,0,9,23660,40,52,0,0,1,1,1,11.375,Non-college
52,0,0,12,87000,80,52,1,0,1,1,1,20.91346153846154,Non-college
51,1,0,12,24000,40,52,0,0,1,1,1,11.538461538461538,Non-college
46,0,0,14,105000,60,52,0,0,1,1,1,33.65384615384615,Non-college
56,1,0,14,75000,40,52,0,0,1,1,1,36.05769230769231,Non-college
60,0,0,14,65000,40,52,0,0,1,1,1,31.25,Non-college
51,0,0,18,63000,45,52,0,0,1,1,1,26.923076923076923,College
48,1,1,16,35000,40,52,0,0,1,1,1,16.826923076923077,College
53,1,0,13,20000,40,52,0,0,1,1,1,9.615384615384615,Non-college
29,0,0,16,60000,40,52,0,0,1,1,1,28.846153846153847,College
49,0,0,13,45000,40,52,0,0,1,1,1,21.634615384615383,Non-college
20,0,0,12,30000,40,52,0,0,1,1,7,14.423076923076923,Non-college
28,1,0,14,79000,36,52,0,0,1,1,1,42.2008547008547,Non-college
54,0,0,16,68050,40,52,0,0,1,1,1,32.71634615384615,College
48,0,0,18,57000,50,52,0,0,1,1,1,21.923076923076923,College
50,1,0,18,45000,40,52,0,0,1,1,1,21.634615384615383,College
51,1,0,13,58583,40,52,0,0,1,1,1,28.164903846153845,Non-college
52,0,0,18,199482,45,52,0,0,1,1,1,85.24871794871795,College
47,1,0,14,30000,36,52,0,0,1,1,5,16.025641025641026,Non-college
23,1,0,13,19000,39,52,0,0,1,1,7,9.368836291913215,Non-college
26,0,0,13,35000,40,52,0,0,1,1,6,16.826923076923077,Non-college
24,0,0,14,41000,40,52,0,0,1,1,7,19.71153846153846,Non-college
43,1,0,16,70000,50,52,0,0,1,1,1,26.923076923076923,College
29,0,0,18,59300,40,52,0,0,1,1,1,28.509615384615383,College
37,0,0,16,47000,40,52,0,0,1,1,5,22.596153846153847,College
51,1,0,12,18000,40,52,0,0,1,1,1,8.653846153846153,Non-college
36,1,0,12,28000,40,52,0,0,1,1,1,13.461538461538462,Non-college
38,0,0,13,30000,40,52,0,0,1,1,1,14.423076923076923,Non-college
24,1,0,16,42000,50,52,0,0,1,1,7,16.153846153846153,College
57,0,0,16,81595,36,52,0,0,1,1,1,43.58707264957265,College
46,0,0,14,52000,40,52,0,0,1,6,1,25,Non-college
45,1,0,14,30000,36,52,0,0,1,1,1,16.025641025641026,Non-college
29,0,0,9,24000,40,52,0,0,1,1,5,11.538461538461538,Non-college
74,1,0,12,40000,50,52,0,0,1,1,1,15.384615384615385,Non-college
46,0,0,12,50000,40,52,0,0,1,1,5,24.03846153846154,Non-college
44,0,0,14,58000,50,52,0,0,1,1,1,22.307692307692307,Non-college
43,1,0,16,25000,40,48,0,0,1,1,1,13.020833333333334,College
36,0,0,16,37500,45,52,0,0,1,1,1,16.025641025641026,College
38,1,0,12,34000,40,52,0,0,1,1,6,16.346153846153847,Non-college
46,1,0,12,42000,50,52,0,0,1,1,1,16.153846153846153,Non-college
50,1,0,14,75000,36,52,0,0,1,1,5,40.06410256410256,Non-college
49,0,0,14,72000,36,52,0,0,1,1,5,38.46153846153846,Non-college
46,0,0,16,45000,40,52,0,0,1,1,1,21.634615384615383,College
41,0,0,13,52000,40,52,0,0,1,1,1,25,Non-college
43,0,0,12,41000,45,52,0,0,1,1,5,17.521367521367523,Non-college
43,0,1,12,18000,36,48,0,0,1,7,7,10.416666666666666,Non-college
40,1,0,13,38000,40,52,0,0,1,1,1,18.26923076923077,Non-college
41,0,0,12,46700,40,52,0,0,1,1,1,22.451923076923077,Non-college
41,1,0,14,68000,40,52,0,0,1,1,1,32.69230769230769,Non-college
53,1,0,12,23000,40,52,0,0,1,1,1,11.057692307692308,Non-college
